"","Hash","C1.T7.H9_S2","C1.T8.H10_S2","C2.T8.H18_S2","C2.T9.H19_S2","C3.T6.H25_S2","C3.T7.H26_S2","CT1.T1.H28_S2","CT1.T2.H29_S2","CT1.T3.H30_S2","CT1.T4.H31_S2","CT1.T5.H32_S2","CT1.T6.H33_S2","CT1.T7.H34_S2","CT1.T8.H35_S2","CT2.T1.H36_S2","CT2.T4.H39_S2","CT2.T8.H43_S2"
"184","2544fe8eca19940eb64a6a41ea0515da53aa9948",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"185","2563e49b1fe40101e7379e462cf199fb200f5af9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"186","25e711f6c68cf710002cd14bce2a2a6b7cdc79ea",0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
"187","25fa6ff4b76eca0d9259ed3f706428c461ed5199",0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0
"188","2622a018d1047427185136ee93311e89cf68299e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","2655c6ab73c0d798851414a6bc09fc1b4469d3a9",0,0,248,0,94,0,0,75,0,0,0,0,0,0,0,0,0
"190","267e64ae0cec348978cbe162c3b2f63da1d6f873",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"191","26c12f5ed9aaa97b66b7e46839e74a8be7460df6",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"192","270f06048327a491eff5f67657777542057e70db",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","277b80fdb5e574c7b80b5a61bb9d14bd71fecb9b",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"194","278c214d477f173229b4db472073e03386e87c50",0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
