"","X","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"133",133,"seq_18_Calanoida.Calanus helgolandicus.78f54",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"134",134,"seq_19_Calanoida.Calanus helgolandicus.894f7",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"135",135,"seq_20_Calanoida.Metridia pacifica.97d59",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"136",136,"seq_20_Calanoida.Metridia pacifica.97d59",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"137",137,"seq_21_Calanoida.Calanus.9b9f6",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"138",138,"seq_22_Calanoida.Pleuromamma.a32d2",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"139",139,"seq_23_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"140",140,"seq_24_Calanoida..bb435",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"141",141,"seq_24_Calanoida..bb435",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"142",142,"seq_25_Calanoida..e01f9",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"143",143,"seq_26_Calanoida.Metridia pacifica.e1993",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"144",144,"seq_26_Calanoida.Metridia pacifica.e1993",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"145",145,"seq_28_Calanoida..ff62c",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"146",146,"seq_19_Calanoida.Calanus helgolandicus.894f7",1,0.0155876383035309,0.109413753056525,0.236491956670023,0.294225905456563,0.433240788866287,0.833225339494801,0,"1-2mm","predicted C1.T8.H10_S3"
"147",147,"seq_10_Calanoida.Metridia pacifica.3a466",1,0.00445739896314393,0.0430100192031775,0.111352286043321,0.176057582952677,0.247049685461086,0.691366564589632,0,"1-2mm","predicted C1.T8.H10_S3"
